,Unnamed: 0,Agency,Organization,Account Type,Character Code,Object,2015,2016 adjusted,2017 adjusted,2018 adjusted
16,16,50 -  LIBRARY,50200 - LIB COMM ENGAGE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES,-274766.0,-352153.61147661443,-144509.97251632498,-428238.4179435928
17,17,45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58130 - ID BILLING TO FIRE,-265582.98,-35948.89071498146,-13816.012147198715,-40333.21522602857
18,18,50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43562 - SOUTHCENTRAL LIBRARY SERVICES,-264093.0,-263607.174763752,-258121.12494823284,-251703.52785686895
19,19,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58130 - ID BILLING TO FIRE,-249692.0,-275519.72662724927,-269737.27376166603,-263030.8674422589
20,20,45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-247200.0,-244014.6960816145,-269191.32737365674,-295027.126691849
21,21,31 -  POLICE,31101 - SPECIAL DUTY,Revenue,43 - CHARGES FOR SERVICES,43225 - SPECIAL DUTY,-231472.68,-297274.43894162576,-425448.2915917525,-398572.83517087775
22,22,31 -  POLICE,31100 - POLICE FIELD,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-225776.85,0.0,0.0,0.0
23,23,44 -  STREETS,44111 - ST LARGE ITEMS,Revenue,43 - CHARGES FOR SERVICES,43420 - APPLIANCE COLLECTION,-207961.49,-263516.06538047467,-273940.7215510498,-240130.19049260442
24,24,51 -  PARKS,51247 - PARK MTC PARK RANGERS,Revenue,43 - CHARGES FOR SERVICES,43515 - BOAT LAUNCH,-205919.23,-3569.219993079171,0.0,0.0
25,25,16 -  HUMAN RESOURCES,16100 - HR SERVICES,Expense,58 - INTER DEPART BILLING,58116 - ID BILLING TO HUMAN RESOURCES,-194523.0,-201175.46019241613,-196988.70542269226,0.0
26,26,44 -  STREETS,44223 - ST BRUSH COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43425 - REFUSE COLLECTION,-181823.04,-68550.40288196996,-774.7978046525637,-980.5869563443823
27,27,31 -  POLICE,31280 - INFO MGT AND TECHNOLOGY,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-179751.21,-145952.97363676757,-165593.17109612597,-150015.98910812335
28,28,51 -  PARKS,51242 - PARK MTC WEST PARKS,Revenue,49 - TRANSFER IN,49150 - TRANSFER IN FROM PERMANENT,-175000.0,-173305.8921034194,-169699.14369737005,0.0
29,29,31 -  POLICE,31100 - POLICE FIELD,Revenue,43 - CHARGES FOR SERVICES,43220 - POLICE SERVICES,-161783.71,-266901.29393530305,-304542.62631656014,-165525.35712636553
30,30,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-125585.31,-96183.47279900542,-4814.9659265177725,0.0
31,31,51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS,-121590.12,-130851.98948632069,-111422.07226658746,-117021.11977066727
32,32,51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-121124.26,-115965.9739644389,-122833.74815750615,-78950.24252649442
33,33,31 -  POLICE,31166 - TRAINING CENTER,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-110526.55,-111902.52517985614,-92371.60760674502,-56079.66401736109
34,34,17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58186 - ID BILLING TO WATER,-108871.0,-106823.77125378084,-108126.47610760883,-113188.29187504588
35,35,17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58185 - ID BILLING TO TRANSIT,-107060.0,-102022.70288282438,-106951.18832383047,-108422.46905925448
36,36,31 -  POLICE,31155 - TRAFFIC AND SPECIAL SERVICES,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-105113.23,0.0,0.0,0.0
37,37,19 -  MAYOR,19100 - MAYOR,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-102500.0,0.0,0.0,0.0
38,38,17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58191 - ID BILLING TO CDA,-101284.0,-103457.67566944071,-100352.31590748418,-107558.19087400977
39,39,51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-100965.4,-72180.82461294622,-79688.77846149985,-65687.97887789317
40,40,51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-98667.63,-117476.74579666431,-117428.73345980565,-108297.36621033995
41,41,30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-95362.5,-102884.28074642424,-89654.48188880197,-128051.70178179535
42,42,45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58140 - ID BILLING TO ENGINEERING,-95278.75,-1650.931734564842,-182.43142802163555,-520.0798707708875
43,43,31 -  POLICE,31149 - TASK FORCE,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-95115.96,-1852.937082400588,0.0,0.0
44,44,62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,58 - INTER DEPART BILLING,58120 - ID BILLING TO MUNICIPAL COURT,-91643.0,0.0,0.0,0.0
45,45,45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-91313.9,-178075.3296732685,-104032.1303219815,-75825.79178285593
46,46,51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-88357.83,-92484.56057946992,-27.578535124304018,-0.4917118778197482
47,47,45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58131 - ID BILLING TO POLICE,-87143.27,-209363.8863048753,-207400.52365603996,-261850.5319915479
48,48,31 -  POLICE,31102 - FIELD GENERAL OVERALL,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-86326.03,0.0,0.0,0.0
49,49,50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43110 - REPRODUCTION SERVICES,-85934.85,-93089.10104709584,-89825.4901401793,-84652.95613348781
50,50,30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Revenue,43 - CHARGES FOR SERVICES,43225 - SPECIAL DUTY,-83383.57,-103085.51364514088,-124159.92272276626,-69111.39989924371
51,51,44 -  STREETS,44110 - ST REFUSE COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43425 - REFUSE COLLECTION,-83128.62,-143018.75633554911,-69529.0361847472,-30466.798909629364
52,52,31 -  POLICE,31165 - TRAINING SERVICES GENERAL,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING,-80000.0,-118838.3260137733,-126062.22103233205,-132383.96710531684
53,53,51 -  PARKS,51160 - PARK COM REC REC SERVICES,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS,-79600.25,-56537.185053145135,-60268.49573061815,-81076.53707015411
54,54,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58165 - ID BILLING TO PLANNING,-79364.0,-78595.70754797588,-76960.01623084613,-75046.57975247402
55,55,51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-73065.31,-73692.79473162563,-75217.94300421249,-76575.12286066262
56,56,51 -  PARKS,51150 - PARK COM REC COM SERVICES,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-72688.0,-99254.13630487533,-13627.733371539964,-13345.788475847046
57,57,17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58180 - ID BILLING TO MONONA TERRACE,-65340.0,-61213.62172969463,-61114.96475647457,-61955.69660528827
58,58,50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-65283.39,-66154.32513371727,-65045.19692450565,-64062.899489691845
59,59,45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING,-63972.24,-48803.008538679744,-62307.629732567526,-78302.96057533062
60,60,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58160 - ID BILLING TO BUILDING INSPEC,-62598.0,-61992.012765084844,-60701.868555245535,-59192.65409184731
61,61,45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,57 - INTER DEPART CHARGES,57141 - ID CHARGE FROM FLEET SERVICES,-60600.53,-92596.22899314752,-39722.51615429344,-47450.98105741068
62,62,51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43535 - PROGRAM REVENUE,-58824.35,-52071.8349531776,-67738.90416061846,-33710.02643975427
63,63,31 -  POLICE,31100 - POLICE FIELD,Revenue,43 - CHARGES FOR SERVICES,43225 - SPECIAL DUTY,-58596.03,-1607.2289401732774,0.0,0.0
64,64,30 -  FIRE,30114 - FIRE HAZARDOUS INCIDENT TEAM,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-57023.43,-61263.325859549885,-55190.30218949095,-42559.07196894912
65,65,51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS,-56546.23,-69227.52385720878,-50965.31715449842,-48870.666720648114
66,66,51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS,-56436.05,-76108.91654419931,-76749.40504787683,-82196.94986375466
67,67,51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43540 - MEMBERSHIPS,-56200.12,-43401.40059040654,-41135.53789275093,-36053.01462557007
68,68,51 -  PARKS,51247 - PARK MTC PARK RANGERS,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-56082.0,-29.709581503443328,0.0,0.0
69,69,50 -  LIBRARY,50224 - LIB COMM ENGAGE ALL AGES,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-55300.0,-188618.84421469952,-408931.2218112453,-23325.23233216125
70,70,60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Revenue,43 - CHARGES FOR SERVICES,43190 - MISCELLANEOUS CHRGS FOR SERVIC,-54635.0,-54251.67646405441,-52698.85693847757,-77822.86066262554
71,71,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58145 - ID BILLING TO TRAFFIC ENGINEE,-54539.0,-54012.01917325997,-52886.980560633514,-51572.06558540625
72,72,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58163 - ID BILLING TO ECONOMIC DEVELO,-54539.0,-54011.02885387652,-57735.527523415505,-56300.064410596126
73,73,50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-52810.37,-95369.75707120764,-2618.2153599022804,-5682.676347972229
74,74,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58144 - ID BILLING TO STREETS,-52682.0,-54618.09463593022,-53481.412418270585,-52151.71824137453
75,75,45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58185 - ID BILLING TO TRANSIT,-52505.88,-1130.4693825936874,-597.5252305993282,-85.7469866936438
76,76,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58191 - ID BILLING TO CDA,-51209.0,-50713.26530699432,-49657.848283420695,-48423.21836782979
77,77,40 -  ENGINEERING,40145 - ENG STREETS DUTCH MILL PNR MNT,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-50000.0,-23281.41838548164,-60412.08060037399,-42925.860661809704
78,78,45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-47566.08,-41647.80244535962,-76195.09006780981,-40867.280517324376
79,79,30 -  FIRE,30110 - FIRE GEN FIELD OP,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING,-47469.0,0.0,0.0,0.0
80,80,51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43531 - LESSONS,-46996.36,-58013.483867632734,-65215.245163584346,-62342.71167712303
81,81,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58183 - ID BILLING TO SEWER,-46917.0,-46462.81451323502,-45495.85557056863,-44364.704176286774
82,82,45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Revenue,43 - CHARGES FOR SERVICES,43430 - TRAFFIC PRIVATE ENTITY,-46839.62,-19998.054082434766,-17214.484775633653,-10185.357661148866
83,83,51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Revenue,48 - OTHER FINANCE SOURCE,48115 - TRADE IN ALLOWANCE,-45800.0,-45356.627761923475,-44897.54487536133,-44901.426602922336
84,84,30 -  FIRE,30110 - FIRE GEN FIELD OP,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-44871.24,-57994.321187563015,-40558.12443495321,-54136.834740114056
85,85,45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-44205.47,-8761.543746048292,-7918.239621670691,-39752.6075142976
86,86,45 -  TRAFFIC ENGINEERING,45881 - TE PED BIKE SAFETY EDUCATION,Revenue,42 - INTERGOV REVENUES,42110 - FEDERAL REVENUES OPERATING,-44007.2,-19579.13908004238,0.0,0.0
87,87,50 -  LIBRARY,50100758 - LIB PUBLIC SERVICE SEQUOYA,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-42446.26,-217.8702643585844,-3968.0508343407896,-94.55997650379774
88,88,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58161 - ID BILLING TO COM DEV BLK GNT,-41703.0,-41299.28924793657,-40439.79079777956,-39434.34700137877
89,89,31 -  POLICE,31110 - CANINE,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-41644.79,-44452.317616927845,0.0,-472.79988251898874
90,90,50 -  LIBRARY,50224 - LIB COMM ENGAGE ALL AGES,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-39249.56,-19064.331451750717,-88023.17856608005,-8794.077814853192
91,91,50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-38971.17,-33107.307888890784,-42340.3824188144,-41351.83420492279
92,92,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58162 - ID BILLING TO COMMUNITY DEVEL,-38090.0,-37721.265315538534,-36936.230762473286,-36017.89505029656
93,93,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58117 - ID BILLING TO INFORMATION TEC,-37769.0,-37403.3727934517,-939.6484013871518,-916.2861723217999
94,94,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58182 - ID BILLING TO PARKING,-37269.0,-36908.21310172765,-36140.09935118448,-35241.55764320038
95,95,50 -  LIBRARY,50222 - LIB COMM ENGAGE TEEN,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-37000.0,-45200.03846101266,0.0,0.0
96,96,45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-36528.81,-43400.16269117722,-64970.01535530076,-87757.99371395005
97,97,17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58182 - ID BILLING TO PARKING,-36300.0,-42009.34824586887,-37609.20908090743,-39318.038230279104
98,98,30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-35082.66,-67739.80666023001,-63909.230856595466,-45500.61535003631
99,99,16 -  HUMAN RESOURCES,16300 - HR ORGANIZATIONAL & HEALTH DEV,Revenue,43 - CHARGES FOR SERVICES,43190 - MISCELLANEOUS CHRGS FOR SERVIC,-34905.0,-24946.145269057914,-26153.062317246116,-8879.181793706608
100,100,45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58151 - ID BILLING TO PARKS,-34768.37,-1607.5458423759806,-2433.796027625905,-15.545660137224347
101,101,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58116 - ID BILLING TO HUMAN RESOURCES,-32867.0,-33440.11462089236,-32744.17705845196,-31930.067266037382
102,102,45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58144 - ID BILLING TO STREETS,-32334.4,-31988.771854867653,-34612.25432355439,-29208.55549427688
103,103,50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Revenue,42 - INTERGOV REVENUES,42110 - FEDERAL REVENUES OPERATING,-32147.36,-25818.200711734647,-25579.55678830041,-18100.443758413352
104,104,51 -  PARKS,51246 - PARK MTC CONSERVATION,Revenue,44 - LICENSES AND PERMITS,44290 - OTHER PERMITS,-31835.18,-49571.644928142996,-23453.44955093265,-35672.675488076486
105,105,45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,58 - INTER DEPART BILLING,58117 - ID BILLING TO INFORMATION TEC,-31500.91,0.0,0.0,0.0
106,106,62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-31343.76,-34980.873324048596,-45382.51593676664,-11125.917379439192
107,107,45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING,-28665.0,-29004.523618397445,-91765.50044802156,-18811.54423771956
108,108,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58184 - ID BILLING TO STORMWATER,-28536.0,-28259.753926075293,-27671.62722598944,-26983.634895123727
109,109,45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58186 - ID BILLING TO WATER,-28477.98,-4555.855388420855,-39.86475312799361,-13459.052415703296
110,110,50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS,-27621.21,-16427.60609332012,-15653.562960623467,-14323.028009023195
111,111,40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58141 - ID BILLING TO FLEET SERVICES,-27065.0,-26802.99411302312,-26245.18470953897,-25592.657640752863
112,112,51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-27050.68,-42881.25514063808,-55297.52295702591,-11350.033979750842
113,113,62 -  COMMUNITY DEVELOPMENT,62471 - SENIOR CENTER,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-26944.79,-24327.91858755276,-25061.49924242108,-22173.567466326193
114,114,45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING,-26500.98,-22986.590401835303,-7503.698553446756,-23510.49423812748
115,115,51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS,-25677.66,-29365.603968796466,-31486.10518383107,-38509.08708728676
116,116,51 -  PARKS,51185 - PARK COM REC OLBRICH PK BEAUTI,Revenue,49 - TRANSFER IN,49150 - TRANSFER IN FROM PERMANENT,-25478.0,-12784.498371041886,-13236.610785146268,-94.55997650379774
117,117,51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-24992.62,-25066.597815666708,-26816.469603975722,-22251.05936707105
118,118,44 -  STREETS,44220 - ST RECYCLING COLLECTION,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-24829.32,-12483.461084861328,-14517.393253740835,-14007.944711314887
119,119,30 -  FIRE,30121 - FIRE MEDICAL PROGRAM STATE,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING,-24649.2,-28072.613272185103,-24500.347811136537,-21423.46099671216
120,120,30 -  FIRE,30251 - FIRE INSPECTION TANK PROGRAM,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING,-24610.0,-24645.58333618141,-27735.38561855002,-28081.47622233281
121,121,50 -  LIBRARY,50223 - LIB COM ENGAGE ADULT,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-24591.71,-13961.443442300792,-23854.95772492063,0.0
122,122,45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-24442.07,-53801.35843401289,-17733.90961175649,-24577.86834090705
123,123,51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS,-24427.19,-26875.64394299288,-6968.079570468228,-40902.721596517986
124,124,62 -  COMMUNITY DEVELOPMENT,62472 - SENIOR CENTER FOUNDATION,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-22784.16,-20607.120309643018,-17444.20893073027,-15715.21563109331
125,125,45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58185 - ID BILLING TO TRANSIT,-22315.85,-19288.67840487705,-19360.858939305846,-12556.628735936953
126,126,65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-21828.25,-41470.05992241836,-14924.797260835556,0.0
127,127,50 -  LIBRARY,50223 - LIB COM ENGAGE ADULT,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-21600.0,0.0,0.0,0.0
128,128,62 -  COMMUNITY DEVELOPMENT,62473 - SENIOR CENTER OASIS GRANT,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-21532.29,0.0,0.0,0.0
129,129,17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58150 - ID BILLING TO LIBRARY,-20990.0,-22805.074762043096,-22330.467891788783,-22637.658375009174
